,subID,score,source,target,Identity,Condition
16,31020,0.5,Exp3b_self,Exp3b_self,Self,Explicit
17,31021,0.5,Exp3b_self,Exp3b_self,Self,Explicit
18,31022,0.5,Exp3b_self,Exp3b_self,Self,Explicit
19,31023,0.5,Exp3b_self,Exp3b_self,Self,Explicit
20,31025,0.5,Exp3b_self,Exp3b_self,Self,Explicit
21,31026,0.5,Exp3b_self,Exp3b_self,Self,Explicit
22,31027,0.5,Exp3b_self,Exp3b_self,Self,Explicit
23,31029,0.5,Exp3b_self,Exp3b_self,Self,Explicit
24,31032,0.5,Exp3b_self,Exp3b_self,Self,Explicit
25,31033,0.5,Exp3b_self,Exp3b_self,Self,Explicit
26,31034,0.5,Exp3b_self,Exp3b_self,Self,Explicit
27,31035,0.5,Exp3b_self,Exp3b_self,Self,Explicit
28,31036,0.5,Exp3b_self,Exp3b_self,Self,Explicit
29,31037,0.5,Exp3b_self,Exp3b_self,Self,Explicit
30,31038,0.5,Exp3b_self,Exp3b_self,Self,Explicit
31,31039,0.5,Exp3b_self,Exp3b_self,Self,Explicit
32,31040,0.5,Exp3b_self,Exp3b_self,Self,Explicit
33,31041,0.5,Exp3b_self,Exp3b_self,Self,Explicit
34,31042,0.5,Exp3b_self,Exp3b_self,Self,Explicit
35,31043,0.5,Exp3b_self,Exp3b_self,Self,Explicit
36,31044,0.5,Exp3b_self,Exp3b_self,Self,Explicit
37,31045,0.5,Exp3b_self,Exp3b_self,Self,Explicit
38,31046,0.5,Exp3b_self,Exp3b_self,Self,Explicit
39,31047,0.5,Exp3b_self,Exp3b_self,Self,Explicit
40,31048,0.5,Exp3b_self,Exp3b_self,Self,Explicit
41,31049,0.5,Exp3b_self,Exp3b_self,Self,Explicit
42,31050,0.5,Exp3b_self,Exp3b_self,Self,Explicit
43,31051,0.5,Exp3b_self,Exp3b_self,Self,Explicit
44,31052,0.5,Exp3b_self,Exp3b_self,Self,Explicit
45,31055,0.5,Exp3b_self,Exp3b_self,Self,Explicit
46,31056,0.5,Exp3b_self,Exp3b_self,Self,Explicit
47,31057,0.5,Exp3b_self,Exp3b_self,Self,Explicit
48,31058,0.5,Exp3b_self,Exp3b_self,Self,Explicit
49,31059,0.5,Exp3b_self,Exp3b_self,Self,Explicit
50,31060,0.5,Exp3b_self,Exp3b_self,Self,Explicit
51,31061,0.5,Exp3b_self,Exp3b_self,Self,Explicit
52,31062,0.5,Exp3b_self,Exp3b_self,Self,Explicit
53,31063,0.5,Exp3b_self,Exp3b_self,Self,Explicit
54,31064,0.5,Exp3b_self,Exp3b_self,Self,Explicit
55,31065,0.5,Exp3b_self,Exp3b_self,Self,Explicit
